url;metascore;userscore;rating
https://www.metacritic.com/movie/a-womans-life;74;7;| Not Rated
https://www.metacritic.com/movie/a-wrinkle-in-time;53;2,9;| PG
https://www.metacritic.com/movie/a-year-without-love;62;;| R
https://www.metacritic.com/movie/aardvark;37;;| PG-13
https://www.metacritic.com/movie/abacus-small-enough-to-jail;73;6,9;| Not Rated
https://www.metacritic.com/movie/abandon;36;5;| PG-13
https://www.metacritic.com/movie/abattoir;40;4,4;| R
https://www.metacritic.com/movie/abc-africa;73;6,8;| Unrated
https://www.metacritic.com/movie/abcd;53;;| Unrated
https://www.metacritic.com/movie/abcs-of-death-2;53;5,7;| Not Rated
https://www.metacritic.com/movie/abduction;25;4,6;| PG-13
https://www.metacritic.com/movie/abduction-the-megumi-yokota-story;72;;
https://www.metacritic.com/movie/abe;62;;| Not Rated
https://www.metacritic.com/movie/aberdeen;78;6,9;| TV-MA
https://www.metacritic.com/movie/abigail-harm;59;;| Not Rated
https://www.metacritic.com/movie/abominable-2019;61;5,8;| PG
https://www.metacritic.com/movie/abortion-stories-women-tell;78;;| Not Rated
https://www.metacritic.com/movie/about-a-boy;75;7,4;| PG-13
https://www.metacritic.com/movie/about-adam;64;;| R
https://www.metacritic.com/movie/about-alex;45;5,1;| R
https://www.metacritic.com/movie/about-cherry;33;5,2;| R
https://www.metacritic.com/movie/about-elly-2009;87;8,6;| Not Rated
https://www.metacritic.com/movie/about-endlessness;87;6,3;| Not Rated
https://www.metacritic.com/movie/about-last-night;62;6;| R
https://www.metacritic.com/movie/about-schmidt;85;7,6;| R
https://www.metacritic.com/movie/about-time;55;8,5;| R
https://www.metacritic.com/movie/above-and-beyond;69;8;| Not Rated
https://www.metacritic.com/movie/above-suspicion;46;5,2;| R
https://www.metacritic.com/movie/abraham-lincoln-vampire-hunter;42;5,9;| R
https://www.metacritic.com/movie/absolute-wilson;69;;| Unrated
https://www.metacritic.com/movie/absolutely-anything;31;5,6;| Not Rated
https://www.metacritic.com/movie/absolutely-fabulous-the-movie;59;4,8;| R
https://www.metacritic.com/movie/abundant-acreage-available;68;8;| Not Rated
https://www.metacritic.com/movie/abuse-of-weakness;77;;| Not Rated
https://www.metacritic.com/movie/acas-my-home;82;;| Not Rated
https://www.metacritic.com/movie/accepted;47;8;| PG-13
https://www.metacritic.com/movie/accidental-courtesy-daryl-davis-race-america;63;;| Not Rated
https://www.metacritic.com/movie/accidental-love;20;3,2;| PG-13
https://www.metacritic.com/movie/acod;50;5,4;| R
https://www.metacritic.com/movie/across-the-universe;56;7,3;| PG-13
https://www.metacritic.com/movie/act-of-valor;40;6,5;| R
https://www.metacritic.com/movie/action-point;36;4;| R
https://www.metacritic.com/movie/active-measures;68;7,5;| PG-13
https://www.metacritic.com/movie/actor-martinez;60;;| Not Rated
https://www.metacritic.com/movie/actress;76;;| Not Rated
https://www.metacritic.com/movie/acts-of-worship;58;;| R
https://www.metacritic.com/movie/ad-astra;80;6,1;| PG-13
https://www.metacritic.com/movie/adam;56;8;| PG-13
